262.105	791.959
232.853	783.073
243.111	759.335
205.151	755.792
184.399	719.35
155.044	721.375
128.725	693.537
170.227	685.945
95.3198	698.599
97.3444	670.255
130.243	652.035
112.528	600.915
176.807	759.841
134.798	576.621
162.635	514.873
293.724	492.603
240.074	468.815
280.564	413.14
226.408	422.25
223.371	445.026
176.301	452.112
175.795	437.434
184.905	418.201
195.534	415.164
201.102	406.56
202.62	392.388
148.97	409.091
145.427	440.471
276.009	476.406
252.221	401.499
231.47	399.98
218.816	383.278
193.003	380.241
174.277	387.833
205.151	427.818
380.273	373.155
348.386	375.686
421.775	353.922
315.488	378.217
355.978	312.419
400.518	313.432
376.73	327.603
393.432	290.656
390.901	255.733
355.978	254.72
341.807	288.125
323.08	305.334
300.81	298.754
261.331	324.061
274.997	362.527
220.335	353.922
229.445	296.729
289.675	259.782
315.488	254.72
328.647	215.748
255.764	240.549
200.595	275.978
193.51	235.487
183.893	213.724
194.522	306.346
186.424	330.64
193.003	366.07
144.415	346.33
153.525	303.815
123.663	271.423
158.08	260.794
215.273	180.319
152.007	200.058
173.264	159.567
109.998	185.886
129.231	215.242
83.1726	165.135
171.24	131.73
